Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,21.0,TOR,NBA,C,54.0,626.0,12.2,0.589,0.0,0.496,14.1,15.7,14.9,2.7,1.4,2.8,17.2,12.1,0.9,0.7,1.6,0.125,-3.0,-0.1,-3.1,-0.2
2017-18,22.0,TOR,NBA,C,82.0,1524.0,17.5,0.662,0.005,0.263,12.4,16.4,14.4,5.4,1.3,5.2,16.6,14.8,3.1,2.4,5.6,0.175,-0.7,1.1,0.4,0.9
2018-19,23.0,SAS,NBA,C,77.0,1273.0,19.4,0.64,0.0,0.317,15.4,19.7,17.6,10.0,1.1,4.5,12.7,13.1,3.5,1.6,5.1,0.193,1.3,0.7,2.0,1.3
2019-20,24.0,SAS,NBA,C,66.0,1171.0,19.1,0.612,0.0,0.323,12.1,22.5,17.3,13.6,1.5,7.1,15.1,13.2,2.4,1.6,4.0,0.163,0.5,2.0,2.5,1.3
2020-21,25.0,SAS,NBA,C,69.0,1845.0,17.5,0.612,0.0,0.288,12.4,19.3,15.8,10.1,1.2,5.7,14.6,13.4,3.2,2.5,5.7,0.148,-0.4,1.1,0.7,1.2
2021-22,26.0,SAS,NBA,C,12.0,344.0,20.8,0.604,0.0,0.27,17.1,17.1,17.1,10.1,1.0,3.9,11.4,17.5,0.9,0.4,1.2,0.172,0.9,-1.5,-0.7,0.1
Career,,,NBA,,360.0,6783.0,17.8,0.627,0.001,0.307,13.3,18.8,16.1,9.0,1.3,5.3,14.8,13.7,14.0,9.2,23.2,0.164,-0.2,0.9,0.8,4.7
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAS,NBA,,224.0,4633.0,18.7,0.619,0.0,0.303,13.5,20.0,16.7,11.0,1.3,5.6,13.9,13.6,10.0,6.1,16.0,0.166,0.4,1.0,1.4,4.0
2 seasons,,TOR,NBA,,136.0,2150.0,15.9,0.644,0.004,0.317,12.9,16.2,14.6,4.7,1.3,4.5,16.7,14.0,4.0,3.2,7.2,0.161,-1.4,0.7,-0.6,0.7
