Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2019-20,21.0,NYK,NBA,SF,9.0,53.0,3.2,0.351,0.409,0.227,3.9,6.2,5.0,10.6,0.0,1.8,7.6,21.0,-0.1,0.0,-0.1,-0.108,-5.1,-3.9,-9.0,-0.1
2020-21,22.0,TOT,NBA,SF,13.0,249.0,9.5,0.51,0.337,0.169,4.5,14.7,9.4,10.5,0.8,1.1,11.9,17.6,-0.1,0.1,0.1,0.016,-3.9,-1.8,-5.7,-0.2
2020-21,22.0,NYK,NBA,SF,4.0,7.0,11.2,0.532,0.0,2.0,15.7,15.3,15.5,17.5,0.0,0.0,34.7,18.3,0.0,0.0,0.0,0.039,-2.9,-1.9,-4.8,0.0
2020-21,22.0,PHI,NBA,SF,1.0,8.0,-12.0,0.0,0.333,0.0,0.0,27.0,13.8,0.0,0.0,0.0,0.0,16.1,-0.1,0.0,-0.1,-0.33,-18.9,-4.2,-23.2,0.0
2020-21,22.0,ORL,NBA,SF,8.0,234.0,10.2,0.528,0.342,0.152,4.3,14.2,9.1,10.6,0.8,1.2,11.5,17.6,0.0,0.1,0.1,0.027,-3.4,-1.7,-5.1,-0.2
2021-22,23.0,ORL,NBA,SF,6.0,49.0,-0.6,0.25,0.643,0.0,4.5,12.7,8.7,8.9,1.0,0.0,12.5,14.1,-0.1,0.0,-0.1,-0.132,-8.0,-4.6,-12.6,-0.1
Career,,,NBA,,28.0,351.0,7.2,0.451,0.387,0.16,4.4,13.1,8.7,10.3,0.7,1.0,11.2,17.6,-0.3,0.2,-0.2,-0.024,-4.6,-2.5,-7.1,-0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,ORL,NBA,,14.0,283.0,8.4,0.488,0.387,0.129,4.3,14.0,9.0,10.3,0.9,1.0,11.7,17.0,-0.1,0.1,0.0,-0.001,-4.2,-2.2,-6.4,-0.3
2 seasons,,NYK,NBA,,13.0,60.0,4.2,0.364,0.391,0.304,5.3,7.3,6.3,11.4,0.0,1.6,10.3,20.7,-0.1,0.0,-0.1,-0.091,-4.8,-3.7,-8.5,-0.1
1 season,,PHI,NBA,,1.0,8.0,-12.0,0.0,0.333,0.0,0.0,27.0,13.8,0.0,0.0,0.0,0.0,16.1,-0.1,0.0,-0.1,-0.33,-18.9,-4.2,-23.2,0.0
