,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2014-15,23.0,CLE,NBA,SG,51.0,493.0,5.6,0.537,0.7,0.125,1.7,7.8,4.8,7.7,0.7,0.3,17.6,14.1,0.0,0.2,0.2,0.018,-4.0,-1.6,-5.6,-0.4
1,2015-16,24.0,CLE,NBA,SG,5.0,15.0,3.4,0.375,1.0,0.0,0.0,22.5,11.3,18.2,0.0,0.0,20.0,15.1,0.0,0.0,0.0,-0.032,-5.0,-0.9,-5.9,0.0
2,2016-17,25.0,BRK,NBA,SG,52.0,1138.0,9.0,0.558,0.61,0.135,1.5,12.0,6.8,7.3,1.2,0.5,12.5,16.5,0.1,0.6,0.8,0.032,-2.6,-0.9,-3.5,-0.4
3,2017-18,26.0,BRK,NBA,SG,78.0,1975.0,13.3,0.634,0.576,0.167,2.7,11.3,7.0,10.2,0.9,0.8,12.0,16.6,3.0,0.9,4.0,0.097,0.7,-0.6,0.1,1.0
4,2018-19,27.0,BRK,NBA,SG,76.0,2293.0,13.5,0.645,0.516,0.178,2.4,10.9,6.7,11.9,0.8,0.6,13.0,17.0,3.8,1.7,5.5,0.116,0.8,-0.3,0.5,1.4
5,2019-20,28.0,BRK,NBA,SF,69.0,2123.0,13.3,0.606,0.518,0.114,3.2,11.2,7.3,10.4,0.9,0.7,11.2,18.3,2.5,1.8,4.3,0.097,0.4,-0.6,-0.2,1.0
6,2020-21,29.0,BRK,NBA,SF,69.0,2141.0,14.1,0.663,0.628,0.089,2.3,10.1,6.4,8.4,1.0,0.6,7.8,16.2,4.1,1.1,5.2,0.117,1.7,-1.5,0.2,1.2
7,2021-22,30.0,BRK,NBA,SF,4.0,122.0,5.4,0.479,0.707,0.098,2.6,12.9,7.9,5.9,0.8,0.0,15.8,18.2,-0.2,0.1,-0.1,-0.043,-5.6,-3.0,-8.5,-0.2
8,Career,,,NBA,,404.0,10300.0,12.6,0.622,0.57,0.135,2.5,10.9,6.7,9.8,0.9,0.6,11.6,16.8,13.5,6.4,19.8,0.092,0.2,-0.8,-0.6,3.5
9,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6 seasons,,BRK,NBA,,348.0,9792.0,12.9,0.626,0.565,0.135,2.5,11.0,6.8,9.9,0.9,0.6,11.3,17.0,13.5,6.2,19.7,0.096,0.4,-0.8,-0.4,4.0
11,2 seasons,,CLE,NBA,,56.0,508.0,5.5,0.532,0.71,0.121,1.6,8.2,5.0,8.0,0.7,0.3,17.7,14.1,0.0,0.2,0.2,0.017,-4.0,-1.6,-5.6,-0.5
