Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,24.0,BOS,NBA,SF,48.0,522.0,5.1,0.439,0.436,0.262,2.8,12.0,7.4,7.1,1.4,1.6,17.0,17.1,-0.9,0.8,-0.1,-0.014,-5.5,0.2,-5.3,-0.4
2018-19,25.0,OKC,NBA,SF,61.0,694.0,8.8,0.522,0.465,0.167,2.0,15.7,8.6,3.8,1.3,1.5,10.1,15.1,0.0,0.9,0.9,0.062,-3.6,0.3,-3.2,-0.2
2019-20,26.0,OKC,NBA,SF,55.0,867.0,11.3,0.591,0.487,0.251,1.8,10.6,6.4,6.4,1.3,2.0,12.8,17.0,0.5,0.9,1.3,0.074,-1.1,0.2,-1.0,0.2
2020-21,27.0,PHO,NBA,SF,24.0,355.0,13.4,0.605,0.371,0.319,2.3,17.3,9.9,7.3,1.4,2.3,12.6,19.0,0.3,0.4,0.7,0.095,-1.2,0.8,-0.4,0.2
2021-22,28.0,PHO,NBA,SF,12.0,133.0,7.4,0.479,0.375,0.25,3.2,15.9,9.7,6.7,2.8,2.7,22.0,14.7,-0.2,0.2,0.1,0.029,-5.8,0.9,-4.9,-0.1
Career,,,NBA,,200.0,2571.0,9.5,0.54,0.449,0.24,2.2,13.5,7.9,6.0,1.4,1.8,13.3,16.7,-0.3,3.2,2.9,0.054,-2.9,0.3,-2.6,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,OKC,NBA,,116.0,1561.0,10.2,0.56,0.477,0.213,1.9,12.9,7.4,5.3,1.3,1.8,11.7,16.1,0.5,1.8,2.2,0.069,-2.2,0.2,-2.0,0.0
1 season,,BOS,NBA,,48.0,522.0,5.1,0.439,0.436,0.262,2.8,12.0,7.4,7.1,1.4,1.6,17.0,17.1,-0.9,0.8,-0.1,-0.014,-5.5,0.2,-5.3,-0.4
2 seasons,,PHO,NBA,,36.0,488.0,11.8,0.578,0.372,0.304,2.5,16.9,9.8,7.1,1.8,2.4,14.7,17.8,0.1,0.7,0.8,0.077,-2.4,0.8,-1.6,0.1
