Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,23.0,IND,NBA,PF,23.0,93.0,0.1,0.285,0.333,0.056,2.4,17.9,10.3,7.5,1.6,0.0,11.9,20.2,-0.4,0.1,-0.3,-0.168,-8.8,-3.0,-11.7,-0.2
2017-18,24.0,UTA,NBA,PF,9.0,32.0,9.2,0.379,0.364,0.182,10.8,21.1,16.0,14.0,3.1,0.0,20.2,20.9,-0.1,0.1,0.0,-0.029,-4.9,0.9,-4.0,0.0
2018-19,25.0,UTA,NBA,PF,59.0,516.0,13.0,0.613,0.58,0.133,2.4,15.7,9.1,10.1,0.9,0.9,10.7,17.8,0.7,0.7,1.3,0.123,-0.2,0.2,0.0,0.3
2019-20,26.0,UTA,NBA,PF,66.0,923.0,11.7,0.589,0.699,0.075,1.9,12.9,7.6,7.0,0.9,0.4,8.3,17.2,1.0,0.8,1.8,0.092,0.4,-0.5,-0.1,0.4
2020-21,27.0,UTA,NBA,PF,72.0,1154.0,11.4,0.602,0.721,0.057,2.7,13.0,8.1,7.3,1.1,0.6,10.9,17.4,1.2,1.4,2.6,0.108,-0.5,0.1,-0.4,0.5
2021-22,28.0,PHI,NBA,PF,12.0,277.0,17.4,0.611,0.636,0.169,1.6,9.5,5.7,10.4,1.1,0.9,4.5,21.7,0.8,0.1,0.9,0.157,2.4,-2.3,0.1,0.1
Career,,,NBA,,241.0,2995.0,11.9,0.588,0.664,0.089,2.4,13.4,8.0,8.1,1.0,0.6,9.6,17.9,3.1,3.1,6.3,0.1,-0.2,-0.4,-0.6,1.1
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,UTA,NBA,,206.0,2625.0,11.8,0.597,0.681,0.079,2.4,13.6,8.2,7.8,1.0,0.6,10.1,17.4,2.7,3.0,5.7,0.104,-0.1,-0.1,-0.2,1.2
1 season,,IND,NBA,,23.0,93.0,0.1,0.285,0.333,0.056,2.4,17.9,10.3,7.5,1.6,0.0,11.9,20.2,-0.4,0.1,-0.3,-0.168,-8.8,-3.0,-11.7,-0.2
1 season,,PHI,NBA,,12.0,277.0,17.4,0.611,0.636,0.169,1.6,9.5,5.7,10.4,1.1,0.9,4.5,21.7,0.8,0.1,0.9,0.157,2.4,-2.3,0.1,0.1
