Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,20.0,POR,NBA,SG,15.0,111.0,3.6,0.377,0.42,0.14,1.0,9.4,5.3,6.2,0.4,1.4,7.0,21.7,-0.3,0.1,-0.2,-0.092,-6.6,-4.2,-10.8,-0.2
2019-20,21.0,POR,NBA,SF,61.0,1332.0,12.9,0.587,0.608,0.102,2.0,5.8,3.9,6.3,1.7,1.0,4.4,15.3,2.2,0.3,2.5,0.089,0.5,-0.8,-0.3,0.6
2020-21,22.0,TOT,NBA,SG,58.0,1802.0,12.1,0.534,0.546,0.135,1.6,7.7,4.6,6.6,1.5,0.5,4.9,20.9,1.0,0.7,1.7,0.045,-0.6,-2.1,-2.7,-0.3
2020-21,22.0,POR,NBA,SG,41.0,1262.0,12.4,0.55,0.582,0.143,1.7,6.1,3.9,6.7,1.4,0.4,5.3,20.1,1.2,0.3,1.5,0.056,0.0,-2.4,-2.4,-0.1
2020-21,22.0,TOR,NBA,SG,17.0,540.0,11.3,0.501,0.475,0.119,1.2,11.6,6.2,6.4,1.7,0.7,4.2,22.9,-0.2,0.4,0.2,0.019,-1.8,-1.6,-3.4,-0.2
2021-22,23.0,TOR,NBA,SG,20.0,688.0,16.1,0.554,0.483,0.143,1.6,8.6,4.9,7.4,3.0,1.0,5.7,20.6,1.3,0.5,1.7,0.119,0.3,0.5,0.8,0.5
Career,,,NBA,,154.0,3933.0,12.8,0.547,0.548,0.127,1.7,7.3,4.4,6.6,1.8,0.8,5.0,19.0,4.2,1.5,5.7,0.069,-0.2,-1.3,-1.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,POR,NBA,,117.0,2705.0,12.3,0.557,0.585,0.125,1.8,6.1,3.9,6.5,1.5,0.8,5.0,17.8,3.1,0.6,3.7,0.066,0.0,-1.7,-1.7,0.2
2 seasons,,TOR,NBA,,37.0,1228.0,14.0,0.529,0.479,0.132,1.4,9.9,5.5,7.0,2.4,0.9,5.0,21.6,1.1,0.9,1.9,0.075,-0.7,-0.4,-1.0,0.3
