Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,20.0,POR,NBA,SG,15.0,111.0,3.6,0.377,0.42,0.14,1.0,9.4,5.3,6.2,0.4,1.4,7.0,21.7,-0.3,0.1,-0.2,-0.092,-6.6,-4.2,-10.8,-0.2
2019-20,21.0,POR,NBA,SF,61.0,1332.0,12.9,0.587,0.608,0.102,2.0,5.8,3.9,6.3,1.7,1.0,4.4,15.3,2.2,0.3,2.5,0.089,0.5,-0.8,-0.3,0.6
2020-21,22.0,TOT,NBA,SG,58.0,1802.0,12.1,0.534,0.546,0.135,1.6,7.7,4.6,6.6,1.5,0.5,4.9,20.9,1.0,0.7,1.7,0.045,-0.6,-2.1,-2.7,-0.3
2020-21,22.0,POR,NBA,SG,41.0,1262.0,12.4,0.55,0.582,0.143,1.7,6.1,3.9,6.7,1.4,0.4,5.3,20.1,1.2,0.3,1.5,0.056,0.0,-2.4,-2.4,-0.1
2020-21,22.0,TOR,NBA,SG,17.0,540.0,11.3,0.501,0.475,0.119,1.2,11.6,6.2,6.4,1.7,0.7,4.2,22.9,-0.2,0.4,0.2,0.019,-1.8,-1.6,-3.4,-0.2
2021-22,23.0,TOR,NBA,SG,10.0,334.0,15.4,0.509,0.447,0.149,1.8,9.2,5.3,6.3,4.6,1.2,6.8,20.3,0.4,0.6,1.0,0.137,-1.3,2.5,1.2,0.3
Career,,,NBA,,144.0,3579.0,12.4,0.542,0.551,0.126,1.7,7.2,4.4,6.4,1.8,0.8,5.0,18.8,3.3,1.6,4.9,0.066,-0.4,-1.3,-1.7,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,POR,NBA,,117.0,2705.0,12.3,0.557,0.585,0.125,1.8,6.1,3.9,6.5,1.5,0.8,5.0,17.8,3.1,0.6,3.7,0.066,0.0,-1.7,-1.7,0.2
2 seasons,,TOR,NBA,,27.0,874.0,12.9,0.504,0.465,0.129,1.4,10.7,5.9,6.4,2.8,0.9,5.1,21.9,0.2,1.0,1.2,0.064,-1.6,0.0,-1.6,0.1
