Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,21.0,DET,NBA,PG,34.0,455.0,10.2,0.394,0.385,0.201,0.9,10.9,5.7,34.9,2.2,1.0,15.2,21.1,-0.3,0.4,0.1,0.009,-3.0,0.2,-2.8,-0.1
2015-16,22.0,DET,NBA,PG,12.0,159.0,8.9,0.423,0.185,0.611,2.6,9.3,5.8,20.9,1.0,0.0,9.3,20.7,0.0,0.1,0.1,0.028,-4.6,-0.6,-5.2,-0.1
2016-17,23.0,BRK,NBA,PG,59.0,1334.0,12.7,0.581,0.334,0.526,2.2,10.7,6.5,20.3,1.6,1.3,15.1,14.1,1.9,0.9,2.8,0.101,-1.3,0.4,-1.0,0.4
2017-18,24.0,BRK,NBA,PG,80.0,2306.0,15.9,0.527,0.517,0.32,1.8,10.2,6.0,35.0,1.4,0.7,11.8,20.3,4.3,1.4,5.7,0.118,1.3,-0.7,0.6,1.5
2018-19,25.0,BRK,NBA,PG,68.0,1914.0,16.3,0.58,0.447,0.43,1.4,7.6,4.6,25.6,1.0,0.7,13.4,24.9,3.5,1.4,4.8,0.121,1.4,-0.8,0.6,1.3
2019-20,26.0,BRK,NBA,PG,64.0,1994.0,17.8,0.541,0.392,0.437,1.7,9.6,5.7,35.0,0.9,0.9,12.5,29.2,3.2,1.6,4.8,0.116,2.7,-0.8,1.8,1.9
2020-21,27.0,BRK,NBA,SG,3.0,64.0,10.1,0.536,0.438,0.375,0.0,21.3,11.2,17.6,1.5,1.4,21.2,16.1,0.0,0.1,0.1,0.045,-3.4,2.0,-1.4,0.0
2021-22,28.0,WAS,NBA,PG,8.0,237.0,20.2,0.559,0.378,0.234,2.8,13.6,8.5,31.8,0.6,0.7,10.3,25.2,0.7,0.2,0.9,0.176,3.7,-1.2,2.6,0.3
Career,,,NBA,,328.0,8463.0,15.6,0.543,0.428,0.398,1.7,9.8,5.8,30.1,1.2,0.9,12.9,22.6,13.2,6.0,19.3,0.109,0.9,-0.5,0.4,5.1
,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,BRK,NBA,,274.0,7612.0,15.9,0.552,0.436,0.411,1.7,9.6,5.7,29.9,1.2,0.9,12.9,22.7,12.9,5.3,18.2,0.115,1.2,-0.5,0.6,5.1
2 seasons,,DET,NBA,,46.0,614.0,9.9,0.402,0.336,0.3,1.4,10.5,5.8,31.3,1.8,0.8,13.7,21.0,-0.3,0.5,0.2,0.014,-3.4,0.0,-3.4,-0.2
1 season,,WAS,NBA,,8.0,237.0,20.2,0.559,0.378,0.234,2.8,13.6,8.5,31.8,0.6,0.7,10.3,25.2,0.7,0.2,0.9,0.176,3.7,-1.2,2.6,0.3
