Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2012-13,22.0,POR,NBA,PG,82,3167,16.4,0.546,0.391,0.249,1.5,8.0,4.7,28.8,1.2,0.5,14.5,24.2,5.1,0.7,5.8,0.088,2.1,-1.9,0.3,1.8
2013-14,23.0,POR,NBA,PG,82,2937,18.6,0.568,0.425,0.327,1.3,9.2,5.3,25.1,1.1,0.5,11.5,25.0,7.8,1.8,9.6,0.157,3.8,-0.6,3.2,3.9
2014-15,24.0,POR,NBA,PG,82,2925,20.7,0.56,0.421,0.293,1.8,11.8,6.9,29.0,1.7,0.5,12.6,26.9,7.3,3.3,10.6,0.174,4.3,0.3,4.7,4.9
2015-16,25.0,POR,NBA,PG,75,2676,22.2,0.56,0.414,0.315,1.8,10.4,6.1,33.6,1.2,0.8,12.6,31.3,7.7,1.4,9.2,0.165,5.7,-1.3,4.4,4.3
2016-17,26.0,POR,NBA,PG,75,2694,24.1,0.586,0.389,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,8.8,1.5,10.4,0.185,6.1,-1.1,5.0,4.8
2017-18,27.0,POR,NBA,PG,73,2670,25.2,0.594,0.445,0.38,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,9.9,2.7,12.6,0.227,7.0,0.3,7.2,6.3
2018-19,28.0,POR,NBA,PG,80,2838,23.7,0.588,0.419,0.335,2.6,11.1,7.0,30.6,1.5,1.0,10.8,29.3,9.7,2.4,12.1,0.205,6.6,-0.3,6.4,6.0
2019-20,29.0,POR,NBA,PG,66,2474,26.9,0.627,0.5,0.384,1.4,10.5,6.0,34.4,1.3,0.8,11.0,30.3,10.9,0.7,11.6,0.225,8.3,-0.9,7.5,5.9
2020-21,30.0,POR,NBA,PG,67,2398,25.6,0.623,0.528,0.363,1.4,11.5,6.3,34.6,1.3,0.6,11.6,31.4,9.6,0.8,10.4,0.209,7.4,-1.6,5.9,4.8
2021-22,31.0,POR,NBA,PG,10,341,14.6,0.456,0.516,0.181,0.9,10.8,5.8,38.1,1.1,0.3,11.4,28.6,0.3,0.2,0.4,0.062,-0.6,-3.1,-3.6,-0.1
Career,,,NBA,,692,25120,22.3,0.582,0.437,0.333,1.8,10.7,6.2,30.6,1.3,0.7,11.7,28.8,77.2,15.6,92.8,0.177,5.5,-0.8,4.7,42.5
