,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2016-17,20.0,DEN,NBA,SG,22.0,1.0,7.5,1.5,3.3,0.452,0.4,1.3,0.321,1.1,2.0,0.533,0.514,0.4,0.5,0.8,0.2,0.5,0.8,0.5,0.3,0.0,0.4,0.5,3.8
1,2017-18,21.0,DEN,NBA,SG,62.0,0.0,9.4,1.2,2.9,0.41,0.5,1.3,0.341,0.7,1.5,0.469,0.489,0.4,0.5,0.667,0.2,0.9,1.1,0.5,0.2,0.1,0.4,0.6,3.2
2,2018-19,22.0,DEN,NBA,SG,81.0,18.0,23.2,4.3,9.1,0.474,2.0,5.0,0.402,2.3,4.1,0.56,0.584,0.7,0.8,0.848,0.4,2.0,2.5,1.2,0.7,0.1,0.7,1.4,11.3
3,2019-20,23.0,TOT,NBA,SG,55.0,14.0,22.0,4.1,9.7,0.425,1.9,5.0,0.388,2.2,4.7,0.465,0.525,1.0,1.2,0.818,0.3,2.4,2.7,1.4,0.7,0.1,1.0,1.4,11.2
4,2019-20,23.0,DEN,NBA,SG,41.0,0.0,18.2,2.9,7.3,0.389,1.4,3.9,0.36,1.4,3.4,0.421,0.485,0.8,0.9,0.868,0.2,1.7,1.9,1.2,0.8,0.1,0.9,1.2,7.9
5,2019-20,23.0,MIN,NBA,SG,14.0,14.0,33.1,7.9,16.6,0.472,3.5,8.2,0.426,4.4,8.4,0.517,0.577,1.5,2.0,0.75,0.6,4.4,5.1,1.9,0.6,0.1,1.5,1.9,20.7
6,2020-21,24.0,MIN,NBA,SG,37.0,36.0,32.8,7.1,16.2,0.44,3.5,8.7,0.399,3.7,7.5,0.487,0.547,1.8,2.2,0.85,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6
7,2021-22,25.0,MIN,NBA,SG,4.0,0.0,21.3,2.5,6.8,0.37,1.0,4.5,0.222,1.5,2.3,0.667,0.444,0.5,1.0,0.5,0.3,1.8,2.0,2.3,1.0,0.5,0.3,0.8,6.5
8,Career,,,NBA,,261.0,69.0,19.7,3.7,8.2,0.445,1.7,4.3,0.388,2.0,3.9,0.507,0.547,0.8,1.0,0.811,0.4,1.9,2.3,1.2,0.6,0.1,0.8,1.2,9.8
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4 seasons,,DEN,NBA,,206.0,19.0,16.4,2.8,6.3,0.444,1.3,3.3,0.382,1.5,3.0,0.512,0.544,0.6,0.7,0.81,0.3,1.5,1.8,0.9,0.5,0.1,0.6,1.0,7.4
11,3 seasons,,MIN,NBA,,55.0,50.0,32.0,7.0,15.6,0.447,3.3,8.3,0.399,3.7,7.4,0.5,0.552,1.7,2.0,0.813,0.7,3.7,4.4,2.3,0.8,0.2,1.5,1.7,18.9
