Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,25.0,MIA,NBA,SG,78.0,1966.0,9.1,0.506,0.478,0.154,5.2,9.2,7.2,8.8,1.2,0.7,10.2,12.3,1.2,1.7,2.9,0.072,-1.8,-0.1,-1.9,0.0
2017-18,26.0,MIA,NBA,SG,18.0,299.0,12.0,0.595,0.479,0.11,4.1,8.3,6.2,8.4,1.3,0.9,5.0,12.1,0.5,0.3,0.8,0.125,-1.0,-0.4,-1.4,0.1
2018-19,27.0,MIA,NBA,SG,66.0,1550.0,9.4,0.51,0.488,0.156,4.1,12.2,8.2,10.3,1.1,0.7,11.5,15.4,0.4,1.6,1.9,0.059,-2.2,-0.1,-2.3,-0.1
2019-20,28.0,LAC,NBA,SG,56.0,871.0,6.7,0.477,0.492,0.188,3.6,14.2,9.0,5.3,1.4,0.8,10.9,10.6,-0.1,1.1,1.0,0.055,-3.7,0.8,-3.0,-0.2
2020-21,29.0,DET,NBA,SG,16.0,194.0,16.1,0.619,0.343,0.114,4.5,8.1,6.3,13.6,2.0,0.4,8.7,18.1,0.3,0.2,0.5,0.121,0.9,-0.2,0.7,0.1
2021-22,30.0,DET,NBA,SG,7.0,40.0,13.0,0.504,0.538,0.154,5.0,12.2,8.2,12.2,0.0,2.3,0.0,14.8,0.1,0.0,0.1,0.095,-0.2,-1.4,-1.7,0.0
Career,,,NBA,,241.0,4920.0,9.2,0.515,0.477,0.155,4.5,11.0,7.7,8.9,1.2,0.7,10.3,13.2,2.4,4.8,7.2,0.07,-2.1,0.0,-2.1,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIA,NBA,,162.0,3815.0,9.4,0.514,0.483,0.152,4.7,10.4,7.5,9.4,1.2,0.7,10.5,13.6,2.1,3.6,5.6,0.071,-1.9,-0.1,-2.0,0.0
1 season,,LAC,NBA,,56.0,871.0,6.7,0.477,0.492,0.188,3.6,14.2,9.0,5.3,1.4,0.8,10.9,10.6,-0.1,1.1,1.0,0.055,-3.7,0.8,-3.0,-0.2
2 seasons,,DET,NBA,,23.0,234.0,15.6,0.601,0.373,0.12,4.6,8.8,6.6,13.3,1.7,0.8,7.4,17.6,0.4,0.2,0.6,0.116,0.7,-0.4,0.3,0.1
