Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,19.0,WAS,NBA,SF,52.0,730.0,11.1,0.487,0.295,0.201,5.1,16.6,10.8,14.9,1.4,0.6,10.5,16.5,0.2,0.4,0.6,0.039,-1.7,-1.0,-2.7,-0.1
2019-20,20.0,WAS,NBA,SF,69.0,1782.0,13.7,0.524,0.288,0.223,4.5,19.6,11.7,14.1,2.2,0.3,10.4,17.8,1.3,1.2,2.4,0.065,-0.8,-0.4,-1.3,0.3
2020-21,21.0,TOT,NBA,SF,34.0,524.0,8.5,0.525,0.486,0.146,4.2,17.4,10.8,7.2,0.9,1.0,12.1,14.0,0.0,0.5,0.5,0.043,-3.3,-1.0,-4.3,-0.3
2020-21,21.0,WAS,NBA,SF,21.0,287.0,6.3,0.471,0.517,0.169,4.1,18.4,11.3,8.5,0.5,1.2,14.3,16.1,-0.3,0.2,-0.1,-0.009,-3.7,-2.0,-5.7,-0.3
2020-21,21.0,CHI,NBA,SF,13.0,237.0,11.2,0.616,0.436,0.109,4.3,16.2,10.3,5.6,1.4,0.7,8.0,11.5,0.3,0.2,0.5,0.107,-2.7,0.2,-2.5,0.0
2021-22,22.0,CHI,NBA,SF,9.0,75.0,10.1,0.558,0.462,0.077,2.9,10.0,6.5,3.9,0.7,0.0,6.9,17.0,0.1,0.0,0.1,0.067,-1.8,-4.2,-6.0,-0.1
Career,,,NBA,,164.0,3111.0,12.1,0.517,0.322,0.204,4.5,18.3,11.2,12.9,1.8,0.5,10.6,16.8,1.6,2.0,3.6,0.055,-1.5,-0.7,-2.2,-0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,WAS,NBA,,142.0,2799.0,12.2,0.51,0.311,0.213,4.6,18.7,11.4,13.7,1.8,0.5,10.8,17.3,1.2,1.8,3.0,0.051,-1.4,-0.7,-2.1,-0.1
2 seasons,,CHI,NBA,,22.0,312.0,10.9,0.597,0.444,0.099,3.9,14.7,9.4,5.2,1.2,0.6,7.6,12.8,0.3,0.3,0.6,0.098,-2.5,-0.9,-3.4,-0.1
