Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,23.0,UTA,NBA,PG,81.0,53.0,18.5,2.2,5.2,0.431,0.8,2.0,0.395,1.4,3.2,0.453,0.507,0.6,0.9,0.743,0.2,1.3,1.5,2.1,0.8,0.0,1.3,1.5,5.9
2016-17,24.0,UTA,NBA,PG,40.0,0.0,8.7,1.0,2.3,0.451,0.3,0.8,0.323,0.8,1.5,0.517,0.505,0.2,0.2,0.889,0.1,0.7,0.8,0.9,0.5,0.1,0.4,1.2,2.5
2017-18,25.0,UTA,NBA,PG,41.0,0.0,12.1,1.7,3.7,0.457,0.5,1.1,0.404,1.2,2.5,0.481,0.52,0.6,0.9,0.743,0.2,1.0,1.2,1.8,0.3,0.1,0.9,0.9,4.5
2018-19,26.0,UTA,NBA,PG,37.0,1.0,12.8,2.0,4.4,0.46,0.5,1.6,0.333,1.5,2.7,0.535,0.522,0.8,0.9,0.848,0.2,1.5,1.7,2.5,0.4,0.1,0.9,1.3,5.3
2019-20,27.0,PHI,NBA,PG,54.0,3.0,12.4,1.9,4.1,0.455,0.6,1.6,0.386,1.2,2.5,0.5,0.532,0.7,0.9,0.83,0.2,0.9,1.1,1.8,0.4,0.1,0.9,0.9,5.1
2020-21,28.0,WAS,NBA,PG,64.0,22.0,21.9,3.3,7.0,0.468,1.0,2.6,0.39,2.3,4.4,0.512,0.539,1.2,1.3,0.882,0.4,2.0,2.4,2.3,1.1,0.1,0.8,1.7,8.7
2021-22,29.0,WAS,NBA,PG,8.0,0.0,22.3,3.9,7.1,0.544,0.5,2.0,0.25,3.4,5.1,0.659,0.579,0.9,0.9,1.0,0.0,2.9,2.9,3.3,1.3,0.1,1.1,2.0,9.1
Career,,,NBA,,325.0,79.0,15.6,2.2,4.8,0.456,0.7,1.7,0.379,1.5,3.0,0.501,0.525,0.7,0.9,0.822,0.2,1.3,1.5,2.0,0.7,0.1,0.9,1.3,5.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,UTA,NBA,,199.0,54.0,14.2,1.8,4.1,0.443,0.6,1.5,0.377,1.3,2.6,0.482,0.512,0.6,0.7,0.776,0.2,1.1,1.3,1.9,0.6,0.1,1.0,1.3,4.8
2 seasons,,WAS,NBA,,72.0,22.0,22.0,3.3,7.0,0.476,0.9,2.5,0.378,2.4,4.5,0.531,0.544,1.1,1.3,0.891,0.4,2.1,2.5,2.4,1.2,0.1,0.9,1.7,8.8
1 season,,PHI,NBA,,54.0,3.0,12.4,1.9,4.1,0.455,0.6,1.6,0.386,1.2,2.5,0.5,0.532,0.7,0.9,0.83,0.2,0.9,1.1,1.8,0.4,0.1,0.9,0.9,5.1
