,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2014-15,19.0,ORL,NBA,PF,47.0,8.0,17.0,2.0,4.4,0.447,0.3,1.0,0.271,1.7,3.4,0.5,0.478,0.9,1.3,0.721,1.0,2.6,3.6,0.7,0.4,0.5,0.8,1.8,5.2
1,2015-16,20.0,ORL,NBA,PF,78.0,37.0,23.9,3.5,7.4,0.473,0.5,1.8,0.296,3.0,5.6,0.531,0.509,1.7,2.5,0.668,2.0,4.5,6.5,1.6,0.8,0.7,0.8,2.0,9.2
2,2016-17,21.0,ORL,NBA,SF,80.0,72.0,28.7,4.9,10.8,0.454,1.0,3.3,0.288,4.0,7.5,0.528,0.499,2.0,2.7,0.719,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7
3,2017-18,22.0,ORL,NBA,PF,58.0,57.0,32.9,6.5,14.9,0.434,2.0,5.9,0.336,4.5,9.0,0.497,0.5,2.7,3.9,0.698,1.5,6.4,7.9,2.3,1.0,0.8,1.8,1.9,17.6
4,2018-19,23.0,ORL,NBA,PF,78.0,78.0,33.8,6.0,13.4,0.449,1.6,4.4,0.349,4.5,9.0,0.499,0.507,2.4,3.2,0.731,1.7,5.7,7.4,3.7,0.7,0.7,2.1,2.2,16.0
5,2019-20,24.0,ORL,NBA,PF,62.0,62.0,32.5,5.4,12.4,0.437,1.2,3.8,0.308,4.2,8.5,0.494,0.484,2.4,3.6,0.674,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2.0,14.4
6,2020-21,25.0,TOT,NBA,PF,50.0,50.0,27.7,4.6,10.0,0.463,1.2,3.5,0.335,3.4,6.5,0.533,0.522,1.9,3.0,0.651,1.5,4.1,5.7,3.2,0.7,0.7,1.9,1.8,12.4
7,2020-21,25.0,ORL,NBA,PF,25.0,25.0,29.4,5.1,11.7,0.437,1.7,4.5,0.375,3.4,7.2,0.475,0.509,2.6,4.2,0.629,1.6,5.1,6.6,4.2,0.6,0.8,2.7,2.0,14.6
8,2020-21,25.0,DEN,NBA,PF,25.0,25.0,25.9,4.1,8.2,0.5,0.7,2.6,0.266,3.4,5.7,0.606,0.541,1.2,1.8,0.705,1.5,3.2,4.7,2.2,0.7,0.6,1.2,1.6,10.2
9,2021-22,26.0,DEN,NBA,PF,4.0,4.0,30.3,5.5,9.8,0.564,0.5,2.5,0.2,5.0,7.3,0.69,0.59,1.5,2.5,0.6,2.0,5.3,7.3,1.8,0.3,0.5,3.3,3.5,13.0
10,Career,,,NBA,,457.0,368.0,28.5,4.8,10.7,0.45,1.1,3.4,0.32,3.7,7.2,0.513,0.502,2.0,2.9,0.694,1.6,4.8,6.3,2.5,0.8,0.6,1.5,2.0,12.7
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7 seasons,,ORL,NBA,,428.0,339.0,28.6,4.8,10.8,0.447,1.1,3.5,0.323,3.7,7.3,0.507,0.5,2.1,3.0,0.695,1.6,4.8,6.4,2.5,0.8,0.6,1.5,2.0,12.9
13,2 seasons,,DEN,NBA,,29.0,29.0,26.5,4.3,8.4,0.51,0.7,2.6,0.257,3.7,5.9,0.62,0.549,1.3,1.9,0.685,1.6,3.5,5.1,2.2,0.6,0.6,1.5,1.9,10.6
