Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,21.0,BOS,NBA,PG,39.0,311.0,5.0,0.326,0.255,0.094,8.1,13.5,10.8,16.5,0.9,0.3,14.7,17.7,-0.6,0.3,-0.3,-0.047,-4.7,-1.4,-6.1,-0.3
2016-17,22.0,BOS,NBA,PG,74.0,1263.0,10.9,0.466,0.436,0.161,3.6,16.3,10.0,15.2,1.8,0.7,9.7,17.1,0.0,1.4,1.4,0.054,-1.6,0.1,-1.4,0.2
2017-18,23.0,BOS,NBA,PG,80.0,2068.0,15.1,0.52,0.503,0.186,3.4,16.3,9.9,17.5,1.9,0.8,8.5,20.4,2.2,3.4,5.6,0.13,0.9,1.2,2.1,2.1
2018-19,24.0,BOS,NBA,PG,79.0,1791.0,12.9,0.501,0.506,0.14,1.9,16.4,9.1,17.7,1.8,1.0,8.8,18.6,0.9,2.3,3.2,0.086,-0.7,0.5,-0.2,0.8
2019-20,25.0,CHO,NBA,PG,63.0,2164.0,14.8,0.553,0.45,0.202,2.4,11.8,7.0,20.4,1.4,0.4,12.1,23.7,1.9,1.1,3.0,0.066,0.8,-1.2,-0.4,0.8
2020-21,26.0,CHO,NBA,SG,69.0,2383.0,17.1,0.575,0.504,0.178,2.1,11.8,6.9,20.0,1.8,1.1,9.5,24.4,3.3,2.0,5.2,0.105,2.4,-0.9,1.5,2.1
2021-22,27.0,CHO,NBA,SG,17.0,551.0,15.5,0.529,0.485,0.153,2.2,9.7,5.8,15.1,1.9,1.4,8.2,23.2,0.6,0.2,0.8,0.07,1.0,-1.2,-0.2,0.2
Career,,,NBA,,421.0,10531.0,14.3,0.53,0.478,0.174,2.7,14.0,8.3,18.3,1.7,0.8,9.8,21.4,8.3,10.7,18.9,0.086,0.5,-0.2,0.3,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,BOS,NBA,,272.0,5433.0,12.8,0.492,0.477,0.16,3.2,16.2,9.7,17.0,1.8,0.8,9.2,18.9,2.5,7.4,9.9,0.088,-0.6,0.6,0.0,2.8
3 seasons,,CHO,NBA,,149.0,5098.0,16.0,0.561,0.48,0.185,2.3,11.6,6.8,19.7,1.6,0.8,10.4,24.0,5.7,3.3,9.0,0.085,1.6,-1.1,0.5,3.2
