Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,24.0,MIL,NBA,PG,6.0,99.0,4.5,0.413,0.409,0.227,0.0,14.0,7.1,18.1,1.5,3.6,29.2,15.8,-0.3,0.1,-0.2,-0.074,-6.3,-0.2,-6.5,-0.1
2017-18,25.0,TOT,NBA,PG,23.0,221.0,9.8,0.443,0.338,0.122,6.5,15.5,11.0,13.7,1.5,1.1,8.2,16.8,0.0,0.2,0.2,0.041,-3.5,-0.4,-3.9,-0.1
2017-18,25.0,MIL,NBA,PG,12.0,106.0,7.6,0.437,0.364,0.091,4.4,14.3,9.4,12.2,1.4,0.8,8.0,15.9,0.0,0.1,0.0,0.016,-4.6,-0.7,-5.3,-0.1
2017-18,25.0,LAL,NBA,PG,11.0,115.0,11.8,0.447,0.317,0.146,8.4,16.5,12.5,15.1,1.7,1.4,8.4,17.6,0.0,0.1,0.2,0.063,-2.5,-0.1,-2.6,0.0
2018-19,26.0,WAS,NBA,PG,3.0,16.0,36.9,0.688,0.25,0.0,6.7,6.9,6.8,45.1,8.9,5.3,11.1,23.8,0.1,0.0,0.1,0.358,8.3,10.6,18.9,0.1
2019-20,27.0,WAS,NBA,SF,29.0,432.0,11.3,0.473,0.397,0.069,6.3,14.2,10.1,14.8,3.6,1.4,14.3,13.4,0.0,0.4,0.5,0.051,-3.2,1.6,-1.6,0.0
2020-21,28.0,GSW,NBA,PG,10.0,40.0,29.2,0.847,0.308,0.308,5.4,23.6,14.6,4.1,7.0,2.2,6.3,16.8,0.2,0.1,0.3,0.331,0.5,9.0,9.5,0.1
2021-22,29.0,GSW,NBA,PG,8.0,72.0,27.9,0.79,0.321,0.143,8.8,12.5,10.7,14.1,3.9,1.4,14.4,20.7,0.3,0.2,0.5,0.325,3.1,4.2,7.3,0.2
Career,,,NBA,,79.0,880.0,12.8,0.52,0.364,0.115,5.8,14.7,10.2,14.9,3.1,1.7,13.8,15.5,0.3,1.1,1.4,0.075,-2.7,1.6,-1.1,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,WAS,NBA,,32.0,448.0,12.2,0.486,0.387,0.065,6.3,14.0,10.0,15.9,3.8,1.6,14.1,13.8,0.1,0.5,0.6,0.062,-2.8,1.9,-0.9,0.1
2 seasons,,GSW,NBA,,18.0,112.0,28.4,0.809,0.317,0.195,7.6,16.5,12.1,10.5,5.0,1.7,11.9,19.3,0.4,0.3,0.8,0.327,2.2,5.9,8.1,0.3
2 seasons,,MIL,NBA,,18.0,205.0,6.1,0.427,0.382,0.145,2.3,14.1,8.3,15.0,1.5,2.1,18.2,15.8,-0.3,0.2,-0.1,-0.027,-5.4,-0.5,-5.9,-0.2
1 season,,LAL,NBA,,11.0,115.0,11.8,0.447,0.317,0.146,8.4,16.5,12.5,15.1,1.7,1.4,8.4,17.6,0.0,0.1,0.2,0.063,-2.5,-0.1,-2.6,0.0
