Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,20.0,HOU,NBA,PF,28.0,221.0,10.0,0.562,0.146,0.341,10.3,13.3,11.8,9.4,1.6,4.6,21.6,11.8,0.2,0.3,0.5,0.101,-5.1,1.2,-3.9,-0.1
2019-20,21.0,HOU,NBA,C,23.0,266.0,18.6,0.674,0.075,0.418,11.3,24.3,17.7,10.0,1.6,3.9,16.8,14.8,0.7,0.4,1.1,0.19,-1.0,1.3,0.3,0.2
2020-21,22.0,TOT,NBA,C,46.0,559.0,17.9,0.583,0.035,0.415,13.0,23.7,18.2,15.3,1.7,6.5,17.9,19.2,0.7,0.9,1.6,0.134,-2.5,1.1,-1.4,0.1
2020-21,22.0,DEN,NBA,C,30.0,272.0,15.5,0.543,0.0,0.45,16.7,18.7,17.7,7.5,2.0,7.2,18.0,18.7,0.2,0.5,0.7,0.115,-4.2,-0.1,-4.3,-0.2
2020-21,22.0,CLE,NBA,C,16.0,287.0,20.3,0.62,0.066,0.385,9.5,28.4,18.7,22.8,1.4,5.9,17.8,19.6,0.5,0.4,0.9,0.151,-1.0,2.3,1.3,0.2
2021-22,23.0,LAC,NBA,C,13.0,213.0,20.3,0.647,0.032,0.419,11.6,21.0,16.5,11.6,2.4,4.8,17.9,18.0,0.5,0.5,1.0,0.226,-1.4,2.4,1.0,0.2
Career,,,NBA,,110.0,1259.0,17.1,0.61,0.056,0.408,11.9,21.5,16.7,12.5,1.8,5.3,18.1,16.8,2.0,2.0,4.1,0.156,-2.5,1.4,-1.1,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,HOU,NBA,,51.0,487.0,14.7,0.633,0.102,0.389,10.9,19.3,15.0,9.7,1.6,4.2,18.7,13.5,0.9,0.7,1.5,0.15,-2.9,1.3,-1.6,0.1
1 season,,DEN,NBA,,30.0,272.0,15.5,0.543,0.0,0.45,16.7,18.7,17.7,7.5,2.0,7.2,18.0,18.7,0.2,0.5,0.7,0.115,-4.2,-0.1,-4.3,-0.2
1 season,,CLE,NBA,,16.0,287.0,20.3,0.62,0.066,0.385,9.5,28.4,18.7,22.8,1.4,5.9,17.8,19.6,0.5,0.4,0.9,0.151,-1.0,2.3,1.3,0.2
1 season,,LAC,NBA,,13.0,213.0,20.3,0.647,0.032,0.419,11.6,21.0,16.5,11.6,2.4,4.8,17.9,18.0,0.5,0.5,1.0,0.226,-1.4,2.4,1.0,0.2
