,Abbreviations,Names,Image,Coach,Record,Loc,Playoff_App,Championships
1,ATL,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,N. McMillan (3-2),3-2,"Atlanta, Georgia",47,1
2,BKN,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,S. Nash (3-3),3-3,"Brooklyn, New York","29
  
    (22 NBA & 7 ABA)",2
3,BOS,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,I. Udoka (2-3),2-3,"Boston, Massachusetts",58,1
4,CHA,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,J. Borrego (4-2),4-2,"Charlotte, North Carolina",10,0
5,CHI,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,B. Donovan (4-1),4-1,"Chicago, Illinois",35,6
6,CLE,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,J. Bickerstaff (3-3),3-3,"Cleveland, Ohio",22,1
7,DAL,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,J. Kidd (3-2),3-2,"Dallas, Texas",23,1
8,DEN,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,M. Malone (3-2),3-2,"Denver, Colorado","36
  
    (27 NBA & 9 ABA)",0
9,DET,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,D. Casey (0-4),0-4,"Detroit, Michigan",42,3
10,GSW,Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,S. Kerr (4-1),4-1,"San Francisco, California",35,6
11,HOU,Houston Rockets,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,S. Silas (1-4),1-4,"Houston, Texas",34,2
12,IND,Indiana Pacers,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,R. Carlisle (1-5),1-5,"Indianapolis, Indiana","36
  
    (27 NBA & 9 ABA)",3
13,LAC,Los Angeles Clippers,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg,T. Lue (1-4),1-4,"Los Angeles, California",16,0
14,LAL,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,F. Vogel (3-3),3-3,"Los Angeles, California",62,1
15,MEM,Memphis Grizzlies,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,T. Jenkins (3-2),3-2,"Memphis, Tennessee",11,0
16,MIA,Miami Heat,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,E. Spoelstra (4-1),4-1,"Miami, Florida",22,3
17,MIL,Milwaukee Bucks,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,M. Budenholzer (3-2),3-2,"Milwaukee, Wisconsin",33,2
18,MIN,Minnesota Timberwolves,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,C. Finch (3-1),3-1,"Minneapolis, Minnesota",9,0
19,NOP,New Orleans Pelicans,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,W. Green (1-5),1-5,"New Orleans, Louisiana",7,0
20,NYK,New York Knicks,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,T. Thibodeau (4-1),4-1,"New York, New York",43,2
21,OKC,Oklahoma City Thunder,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,M. Daigneault (1-4),1-4,"Oklahoma City, Oklahoma",32,1
22,ORL,Orlando Magic,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg,J. Mosley (1-5),1-5,"Orlando, Florida",16,0
23,PHI,Philadelphia 76ers,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,D. Rivers (3-2),3-2,"Philadelphia, Pennsylvania",51,3
24,PHX,Phoenix Suns,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,M. Williams (1-3),1-3,"Phoenix, Arizona",30,0
25,POR,Portland Trail Blazers,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,C. Billups (3-2),3-2,"Portland, Oregon",37,1
26,SAC,Sacramento Kings,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,L. Walton (3-2),3-2,"Sacramento, California",29,1
27,SAS,San Antonio Spurs,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,G. Popovich (1-4),1-4,"San Antonio, Texas","47
  
    (39 NBA & 8 ABA)",5
28,TOR,Toronto Raptors,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,N. Nurse (3-3),3-3,"Toronto, Canada",12,1
29,UTA,Utah Jazz,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,Q. Snyder (4-0),4-0,"Salt Lake City, Utah",30,0
30,WAS,Washington Wizards,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,W. Unseld (4-1),4-1,"Washington, District of Columbia",30,1
