Abbreviations,Names,Image,Coach,Record,Loc,Playoff_App,Championships
ATL,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,N. McMillan (4-9),4-9,"Atlanta, Georgia",47,1
BKN,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,S. Nash (9-4),9-4,"Brooklyn, New York","29
  
    (22 NBA & 7 ABA)","2
"
BOS,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,I. Udoka (6-6),6-6,"Boston, Massachusetts",58,17
CHA,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,J. Borrego (7-7),7-7,"Charlotte, North Carolina",10,0
CHI,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,B. Donovan (8-4),8-4,"Chicago, Illinois",35,6
CLE,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,J. Bickerstaff (8-5),8-5,"Cleveland, Ohio",22,1
DAL,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,J. Kidd (8-4),8-4,"Dallas, Texas",23,1
DEN,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,M. Malone (8-4),8-4,"Denver, Colorado","36
  
    (27 NBA & 9 ABA)","0
"
DET,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,D. Casey (2-9),2-9,"Detroit, Michigan",42,3
GSW,Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,S. Kerr (11-1),11-1,"San Francisco, California",35,6
HOU,Houston Rockets,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,S. Silas (1-11),1-11,"Houston, Texas",34,2
IND,Indiana Pacers,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,R. Carlisle (5-8),5-8,"Indianapolis, Indiana","36
  
    (27 NBA & 9 ABA)","3
"
LAC,Los Angeles Clippers,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg,T. Lue (7-4),7-4,"Los Angeles, California",16,0
LAL,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,F. Vogel (7-6),7-6,"Los Angeles, California",62,17
MEM,Memphis Grizzlies,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,T. Jenkins (6-6),6-6,"Memphis, Tennessee",11,0
MIA,Miami Heat,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,E. Spoelstra (7-5),7-5,"Miami, Florida",22,3
MIL,Milwaukee Bucks,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,M. Budenholzer (6-7),6-7,"Milwaukee, Wisconsin",33,2
MIN,Minnesota Timberwolves,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,C. Finch (4-7),4-7,"Minneapolis, Minnesota",9,0
NOP,New Orleans Pelicans,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,W. Green (1-12),1-12,"New Orleans, Louisiana",7,0
NYK,New York Knicks,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,T. Thibodeau (7-6),7-6,"New York, New York",43,2
OKC,Oklahoma City Thunder,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,M. Daigneault (5-6),5-6,"Oklahoma City, Oklahoma",32,1
ORL,Orlando Magic,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg,J. Mosley (3-9),3-9,"Orlando, Florida",16,0
PHI,Philadelphia 76ers,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,D. Rivers (8-5),8-5,"Philadelphia, Pennsylvania",51,3
PHX,Phoenix Suns,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,M. Williams (8-3),8-3,"Phoenix, Arizona",30,0
POR,Portland Trail Blazers,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,C. Billups (6-7),6-7,"Portland, Oregon",37,1
SAC,Sacramento Kings,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,L. Walton (5-8),5-8,"Sacramento, California",29,1
SAS,San Antonio Spurs,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,G. Popovich (4-8),4-8,"San Antonio, Texas","47
  
    (39 NBA & 8 ABA)","5
"
TOR,Toronto Raptors,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,N. Nurse (7-6),7-6,"Toronto, Canada",12,1
UTA,Utah Jazz,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,Q. Snyder (8-4),8-4,"Salt Lake City, Utah",30,0
WAS,Washington Wizards,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,W. Unseld (8-3),8-3,"Washington, District of Columbia",30,1
