Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,25.0,ORL,NBA,C,42.0,0.0,13.8,1.6,3.0,0.54,0.0,0.0,,1.6,3.0,0.54,0.54,1.0,1.5,0.689,1.7,2.6,4.3,0.8,0.4,0.5,0.5,1.3,4.2
2018-19,26.0,ORL,NBA,C,50.0,1.0,12.9,1.8,3.0,0.603,0.0,0.0,0.0,1.8,3.0,0.607,0.603,1.2,1.7,0.699,1.6,2.2,3.8,0.8,0.4,0.6,0.4,1.4,4.8
2019-20,27.0,ORL,NBA,C,48.0,24.0,19.2,1.5,3.0,0.51,0.0,0.0,0.0,1.5,3.0,0.514,0.51,1.4,2.1,0.653,1.9,2.7,4.6,1.0,0.4,0.5,0.6,1.9,4.4
2020-21,28.0,TOT,NBA,C,67.0,22.0,22.8,2.8,5.7,0.497,0.2,0.8,0.25,2.6,4.9,0.537,0.514,1.4,1.9,0.705,2.6,3.2,5.8,1.3,0.7,0.7,0.7,1.7,7.2
2020-21,28.0,ORL,NBA,C,48.0,5.0,19.8,2.0,4.4,0.45,0.1,0.4,0.19,1.9,3.9,0.479,0.459,1.3,1.8,0.741,2.4,2.6,5.1,1.1,0.7,0.6,0.5,1.4,5.3
2020-21,28.0,TOR,NBA,C,19.0,17.0,30.4,5.0,9.0,0.556,0.5,1.6,0.29,4.5,7.4,0.614,0.582,1.5,2.3,0.636,3.0,4.6,7.6,1.9,0.8,1.2,1.1,2.4,11.9
2021-22,29.0,TOR,NBA,C,10.0,0.0,23.8,2.3,4.9,0.469,0.0,0.5,0.0,2.3,4.4,0.523,0.469,1.7,2.1,0.81,3.5,2.4,5.9,1.5,0.8,0.3,0.8,1.6,6.3
Career,,,NBA,,217.0,47.0,18.0,2.0,3.9,0.523,0.1,0.3,0.22,2.0,3.6,0.546,0.531,1.3,1.8,0.694,2.1,2.7,4.8,1.0,0.5,0.6,0.6,1.6,5.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,ORL,NBA,,188.0,30.0,16.5,1.7,3.3,0.518,0.0,0.1,0.174,1.7,3.2,0.531,0.521,1.2,1.8,0.694,1.9,2.5,4.4,0.9,0.5,0.5,0.5,1.5,4.7
2 seasons,,TOR,NBA,,29.0,17.0,28.1,4.1,7.6,0.536,0.3,1.2,0.25,3.8,6.3,0.592,0.557,1.6,2.2,0.692,3.2,3.8,7.0,1.8,0.8,0.9,1.0,2.1,10.0
