Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,21.0,Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League)
2014-15,22.0,Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League)
2015-16,23.0,NYK,NBA,SF,2,0,3.0,1.5,2.0,.750,0.0,0.5,.000,1.5,1.5,1.000,.750,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,3.0
2016-17,24.0,Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain)
2017-18,25.0,Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece)
2018-19,26.0,Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece)
2019-20,27.0,MIL,NBA,SF,20,2,6.5,1.2,2.4,.500,0.0,0.5,.000,1.2,1.9,.632,.500,0.4,0.9,.412,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9,2.8
2020-21,28.0,MIL,NBA,SF,57,3,9.7,1.2,2.4,.489,0.1,0.5,.241,1.1,1.9,.556,.515,0.4,0.9,.510,0.9,1.2,2.2,0.8,0.4,0.2,0.8,1.3,2.9
2021-22,29.0,MIL,NBA,SF,9,5,19.0,2.3,4.9,.477,0.0,0.3,.000,2.3,4.6,.512,.477,0.8,1.2,.636,1.7,3.6,5.2,1.4,1.0,0.1,1.0,2.4,5.4
Career,,,NBA,,88,10,9.7,1.3,2.6,.494,0.1,0.5,.163,1.2,2.2,.568,.509,0.4,0.9,.506,0.9,1.3,2.2,0.8,0.4,0.1,0.7,1.3,3.1
