Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,19.0,CHI,NBA,C,44.0,44.0,25.2,4.1,8.4,0.485,0.1,0.7,0.188,4.0,7.7,0.513,0.493,2.0,2.5,0.795,2.0,5.0,7.0,1.8,0.6,1.3,1.5,3.5,10.3
2019-20,20.0,CHI,NBA,C,43.0,43.0,29.2,4.3,8.0,0.534,0.1,0.7,0.207,4.1,7.3,0.564,0.542,2.6,3.5,0.737,3.2,6.2,9.4,1.2,0.8,0.8,1.7,3.8,11.3
2020-21,21.0,TOT,NBA,C,54.0,44.0,25.5,4.3,8.5,0.503,0.3,0.9,0.294,4.0,7.5,0.53,0.52,2.4,3.3,0.732,2.4,5.8,8.2,1.9,0.6,0.8,1.4,2.7,11.2
2020-21,21.0,CHI,NBA,C,32.0,25.0,24.8,4.0,7.9,0.512,0.3,0.7,0.364,3.8,7.2,0.526,0.528,2.6,3.5,0.739,2.2,5.6,7.8,2.2,0.6,0.8,1.5,3.0,10.9
2020-21,21.0,ORL,NBA,C,22.0,19.0,26.5,4.6,9.3,0.493,0.3,1.3,0.241,4.3,8.0,0.534,0.51,2.2,3.1,0.721,2.8,6.0,8.8,1.6,0.8,0.8,1.3,2.3,11.7
2021-22,22.0,ORL,NBA,C,11.0,11.0,29.3,5.5,10.7,0.508,1.5,3.9,0.395,3.9,6.8,0.573,0.581,1.3,1.8,0.7,2.5,8.2,10.6,2.5,0.5,0.8,1.6,2.8,13.7
Career,,,NBA,,152.0,142.0,26.7,4.3,8.5,0.507,0.3,1.0,0.284,4.0,7.5,0.537,0.524,2.3,3.0,0.747,2.5,5.8,8.4,1.7,0.7,1.0,1.5,3.2,11.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CHI,NBA,,119.0,112.0,26.5,4.1,8.1,0.509,0.2,0.7,0.241,4.0,7.4,0.535,0.52,2.4,3.2,0.755,2.5,5.6,8.1,1.7,0.6,1.0,1.6,3.4,10.8
2 seasons,,ORL,NBA,,33.0,30.0,27.4,4.9,9.8,0.498,0.7,2.2,0.333,4.2,7.6,0.546,0.536,1.9,2.7,0.716,2.7,6.7,9.4,1.9,0.7,0.8,1.4,2.5,12.4
