Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,24.0,MIL,NBA,SG,75.0,1982.0,14.9,0.555,0.304,0.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,2.6,1.5,4.1,0.1,0.0,-0.4,-0.4,0.8
2017-18,25.0,MIL,NBA,PG,48.0,1436.0,14.3,0.578,0.32,0.169,1.9,10.8,6.4,16.3,1.4,0.8,10.9,19.1,2.0,0.7,2.7,0.091,-0.1,-1.0,-1.2,0.3
2018-19,26.0,MIL,NBA,SG,64.0,1832.0,17.8,0.614,0.326,0.203,3.8,11.7,8.0,16.2,1.2,0.6,10.0,20.7,4.2,2.3,6.5,0.171,2.0,0.1,2.2,1.9
2019-20,27.0,IND,NBA,PG,54.0,1666.0,17.7,0.541,0.309,0.25,3.1,14.1,8.6,33.8,1.0,0.5,13.7,25.2,2.3,1.7,4.0,0.114,2.3,-0.5,1.8,1.6
2020-21,28.0,IND,NBA,PG,56.0,1930.0,17.9,0.561,0.382,0.181,3.3,13.2,8.3,25.7,1.2,0.6,9.8,25.9,2.9,1.3,4.2,0.105,2.9,-1.4,1.5,1.7
2021-22,29.0,IND,NBA,PG,6.0,221.0,20.1,0.555,0.299,0.29,4.0,17.1,10.7,29.8,0.7,1.9,14.2,27.5,0.5,0.1,0.6,0.13,3.2,-0.7,2.5,0.2
Career,,,NBA,,303.0,9067.0,16.7,0.569,0.332,0.204,3.0,12.0,7.6,23.6,1.4,0.6,11.7,22.1,14.4,7.8,22.1,0.117,1.5,-0.6,0.9,6.6
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIL,NBA,,187.0,5250.0,15.7,0.585,0.317,0.192,2.9,10.7,6.9,19.3,1.6,0.6,11.7,19.4,8.8,4.6,13.4,0.122,0.7,-0.4,0.3,3.0
3 seasons,,IND,NBA,,116.0,3817.0,17.9,0.552,0.347,0.215,3.2,13.8,8.6,29.5,1.1,0.7,11.7,25.7,5.6,3.2,8.8,0.11,2.7,-1.0,1.7,3.6
