Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,24.0,LAL,NBA,SG,20.0,397.0,12.2,0.611,0.062,0.481,4.5,13.1,8.7,5.0,1.6,1.4,10.1,11.8,0.6,0.2,0.8,0.091,-2.1,-0.1,-2.2,0.0
2017-18,25.0,CHI,NBA,SG,70.0,1646.0,12.2,0.542,0.123,0.48,5.6,16.0,10.6,9.4,1.7,1.6,13.1,15.6,1.1,1.4,2.4,0.071,-2.7,0.2,-2.5,-0.2
2018-19,26.0,CLE,NBA,SF,51.0,984.0,12.5,0.558,0.286,0.324,4.4,14.4,9.2,8.1,1.8,1.5,8.8,14.6,1.1,0.3,1.4,0.069,-1.8,-0.3,-2.1,0.0
2019-20,27.0,BRK,NBA,SF,20.0,268.0,14.0,0.627,0.394,0.38,3.2,14.0,8.7,4.3,1.9,3.7,8.8,14.2,0.4,0.4,0.8,0.138,-1.0,2.0,1.0,0.2
2020-21,28.0,HOU,NBA,SF,30.0,679.0,14.4,0.557,0.289,0.312,6.0,12.8,9.3,6.9,2.1,2.8,6.4,16.6,0.7,0.6,1.3,0.094,-1.3,1.0,-0.3,0.3
2021-22,29.0,HOU,NBA,SF,11.0,148.0,11.9,0.457,0.182,0.273,5.1,21.9,13.6,10.4,3.2,2.6,12.4,15.9,-0.1,0.2,0.2,0.054,-4.1,0.9,-3.2,0.0
Career,,,NBA,,202.0,4122.0,12.7,0.556,0.21,0.395,5.1,14.9,9.9,7.9,1.9,1.9,10.4,15.1,3.8,3.1,6.9,0.08,-2.1,0.3,-1.8,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,CHI,NBA,,70.0,1646.0,12.2,0.542,0.123,0.48,5.6,16.0,10.6,9.4,1.7,1.6,13.1,15.6,1.1,1.4,2.4,0.071,-2.7,0.2,-2.5,-0.2
1 season,,CLE,NBA,,51.0,984.0,12.5,0.558,0.286,0.324,4.4,14.4,9.2,8.1,1.8,1.5,8.8,14.6,1.1,0.3,1.4,0.069,-1.8,-0.3,-2.1,0.0
2 seasons,,HOU,NBA,,41.0,827.0,13.9,0.54,0.271,0.305,5.9,14.4,10.0,7.5,2.3,2.7,7.5,16.5,0.7,0.8,1.5,0.087,-1.8,1.0,-0.8,0.2
1 season,,LAL,NBA,,20.0,397.0,12.2,0.611,0.062,0.481,4.5,13.1,8.7,5.0,1.6,1.4,10.1,11.8,0.6,0.2,0.8,0.091,-2.1,-0.1,-2.2,0.0
1 season,,BRK,NBA,,20.0,268.0,14.0,0.627,0.394,0.38,3.2,14.0,8.7,4.3,1.9,3.7,8.8,14.2,0.4,0.4,0.8,0.138,-1.0,2.0,1.0,0.2
