Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,19.0,DEN,NBA,PF,17.0,69.0,12.4,0.513,0.053,0.526,10.9,25.2,18.0,5.9,4.3,1.3,25.5,19.4,-0.1,0.1,0.1,0.037,-5.2,1.0,-4.2,0.0
2019-20,20.0,TOT,NBA,PF,11.0,46.0,7.6,0.676,0.125,0.25,7.3,14.5,10.9,5.9,3.2,2.0,44.1,14.9,-0.1,0.1,0.0,-0.026,-6.6,0.5,-6.0,-0.1
2019-20,20.0,DEN,NBA,PF,9.0,41.0,7.2,0.714,0.0,0.0,8.2,13.6,10.9,6.6,3.6,2.3,50.0,14.8,-0.1,0.1,0.0,-0.042,-7.0,0.9,-6.1,0.0
2019-20,20.0,MIN,NBA,PF,2.0,5.0,11.1,0.532,1.0,2.0,0.0,21.9,10.6,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.104,-2.8,-2.8,-5.6,0.0
2020-21,21.0,MIN,NBA,PF,64.0,1139.0,16.2,0.612,0.021,0.432,10.8,24.7,17.5,9.3,2.7,3.5,15.9,12.3,1.6,1.5,3.1,0.132,-1.6,1.0,-0.6,0.4
2021-22,22.0,MIN,NBA,PF,8.0,161.0,13.6,0.554,0.105,0.263,10.2,24.4,17.0,5.6,2.1,1.8,15.9,12.9,0.2,0.3,0.4,0.125,-3.1,-0.5,-3.6,-0.1
Career,,,NBA,,100.0,1415.0,15.5,0.6,0.037,0.412,10.6,24.4,17.2,8.6,2.7,3.2,17.6,12.8,1.6,2.0,3.6,0.121,-2.1,0.8,-1.3,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIN,NBA,,74.0,1305.0,15.9,0.604,0.036,0.415,10.7,24.6,17.4,8.8,2.6,3.3,15.8,12.4,1.8,1.8,3.6,0.131,-1.8,0.8,-1.0,0.3
2 seasons,,DEN,NBA,,26.0,110.0,10.4,0.559,0.038,0.385,9.9,20.9,15.4,6.1,4.0,1.6,33.0,17.7,-0.2,0.2,0.0,0.008,-5.9,0.9,-4.9,-0.1
