Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,20.0,PHO,NBA,SF,77.0,1959.0,11.8,0.48,0.233,0.299,5.1,14.2,9.6,10.1,2.0,1.4,12.2,26.0,-2.0,1.2,-0.7,-0.018,-2.8,-1.4,-4.2,-1.1
2018-19,21.0,PHO,NBA,SG,79.0,1988.0,10.6,0.487,0.268,0.253,3.6,15.9,9.7,14.1,1.8,2.3,15.6,23.9,-2.8,1.1,-1.7,-0.04,-3.3,-1.2,-4.6,-1.3
2019-20,22.0,MEM,NBA,SF,22.0,381.0,14.1,0.547,0.453,0.314,3.1,14.9,9.1,13.1,2.2,2.1,13.4,22.8,0.1,0.5,0.5,0.069,-1.1,1.1,0.0,0.2
2020-21,23.0,DET,NBA,SG,62.0,1560.0,12.0,0.516,0.364,0.308,4.0,14.2,9.1,15.1,1.7,2.6,15.0,26.5,-1.6,1.7,0.1,0.004,-2.4,-0.8,-3.3,-0.5
2021-22,24.0,DET,NBA,SF,18.0,354.0,11.0,0.513,0.463,0.273,3.1,17.7,9.7,15.5,1.0,2.1,14.5,19.2,0.0,0.2,0.2,0.027,-2.7,-1.0,-3.7,-0.2
Career,,,NBA,,258.0,6242.0,11.6,0.496,0.3,0.287,4.1,15.0,9.5,13.1,1.8,2.1,14.1,24.9,-6.3,4.7,-1.5,-0.012,-2.8,-1.0,-3.8,-2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,PHO,NBA,,156.0,3947.0,11.2,0.483,0.249,0.277,4.4,15.0,9.6,12.1,1.9,1.9,13.8,25.0,-4.7,2.3,-2.4,-0.029,-3.1,-1.3,-4.4,-2.4
2 seasons,,DET,NBA,,80.0,1914.0,11.8,0.515,0.378,0.303,3.8,14.8,9.2,15.1,1.5,2.5,15.0,25.1,-1.6,1.9,0.3,0.008,-2.5,-0.9,-3.4,-0.7
1 season,,MEM,NBA,,22.0,381.0,14.1,0.547,0.453,0.314,3.1,14.9,9.1,13.1,2.2,2.1,13.4,22.8,0.1,0.5,0.5,0.069,-1.1,1.1,0.0,0.2
