Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,21.0,TOT,NBA,SF,42.0,440.0,6.0,0.447,0.636,0.143,2.2,6.2,4.2,10.9,1.5,0.2,12.4,16.0,-0.4,0.3,-0.1,-0.012,-3.9,-1.1,-5.0,-0.3
2018-19,21.0,LAL,NBA,SF,39.0,420.0,5.8,0.451,0.644,0.152,2.0,6.3,4.2,10.1,1.4,0.2,12.4,15.9,-0.4,0.3,-0.1,-0.013,-4.1,-1.1,-5.2,-0.3
2018-19,21.0,DET,NBA,SF,3.0,20.0,9.8,0.375,0.5,0.0,5.3,5.7,5.5,28.5,2.5,0.0,11.1,19.4,0.0,0.0,0.0,0.016,0.6,-1.1,-0.5,0.0
2019-20,22.0,DET,NBA,SF,56.0,1265.0,11.2,0.578,0.704,0.173,1.5,7.9,4.7,12.3,1.6,0.3,12.3,17.1,1.0,0.6,1.6,0.06,-0.7,-1.2,-1.9,0.0
2020-21,23.0,TOT,NBA,"SF,SG",66.0,1324.0,10.4,0.529,0.621,0.099,1.9,11.4,6.6,12.9,1.9,0.8,14.3,20.0,-0.8,1.1,0.3,0.01,-1.9,-0.9,-2.8,-0.3
2020-21,23.0,DET,NBA,SF,36.0,634.0,10.2,0.527,0.767,0.135,1.9,11.2,6.5,13.5,2.1,0.8,14.2,19.0,-0.3,0.6,0.3,0.025,-1.3,-0.8,-2.1,0.0
2020-21,23.0,OKC,NBA,SG,30.0,690.0,10.6,0.531,0.505,0.071,1.9,11.6,6.7,12.3,1.7,0.8,14.4,21.0,-0.5,0.5,-0.1,-0.004,-2.5,-1.1,-3.5,-0.3
2021-22,24.0,TOR,NBA,SF,11.0,210.0,15.3,0.654,0.576,0.288,3.4,13.6,8.2,8.9,2.1,0.0,14.2,15.6,0.5,0.2,0.7,0.157,0.3,0.2,0.5,0.1
Career,,,NBA,,175.0,3239.0,10.4,0.544,0.65,0.141,1.9,9.5,5.6,12.1,1.7,0.5,13.3,18.1,0.3,2.2,2.4,0.036,-1.6,-1.0,-2.5,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DET,NBA,,95.0,1919.0,10.8,0.558,0.723,0.157,1.7,9.0,5.3,12.9,1.8,0.4,12.9,17.8,0.7,1.2,1.9,0.048,-0.9,-1.1,-1.9,0.0
1 season,,LAL,NBA,,39.0,420.0,5.8,0.451,0.644,0.152,2.0,6.3,4.2,10.1,1.4,0.2,12.4,15.9,-0.4,0.3,-0.1,-0.013,-4.1,-1.1,-5.2,-0.3
1 season,,OKC,NBA,,30.0,690.0,10.6,0.531,0.505,0.071,1.9,11.6,6.7,12.3,1.7,0.8,14.4,21.0,-0.5,0.5,-0.1,-0.004,-2.5,-1.1,-3.5,-0.3
1 season,,TOR,NBA,,11.0,210.0,15.3,0.654,0.576,0.288,3.4,13.6,8.2,8.9,2.1,0.0,14.2,15.6,0.5,0.2,0.7,0.157,0.3,0.2,0.5,0.1
