Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,23.0,POR,NBA,SG,34.0,143.0,4.6,0.352,0.429,0.102,8.3,15.9,12.1,9.9,0.7,0.0,16.3,18.7,-0.3,0.1,-0.2,-0.076,-4.8,-3.2,-8.0,-0.2
2016-17,24.0,POR,NBA,SG,39.0,316.0,11.8,0.645,0.458,0.125,3.5,14.8,9.1,12.7,0.9,0.5,18.3,13.0,0.4,0.2,0.6,0.09,-0.4,-0.4,-0.8,0.1
2017-18,25.0,POR,NBA,SG,82.0,1488.0,9.3,0.539,0.538,0.113,2.7,9.1,5.9,8.7,0.8,1.2,9.5,13.4,1.2,1.3,2.5,0.08,-1.7,-0.1,-1.8,0.1
2018-19,26.0,MIL,NBA,SG,61.0,1261.0,13.6,0.573,0.571,0.114,5.2,15.0,10.4,12.6,1.2,1.7,8.2,13.3,2.0,1.9,3.9,0.149,0.3,0.8,1.2,1.0
2019-20,27.0,MIL,NBA,SG,67.0,1243.0,11.5,0.565,0.551,0.133,5.1,16.8,11.3,10.9,0.9,2.2,14.0,12.3,1.1,2.3,3.4,0.13,-0.9,1.5,0.6,0.8
2020-21,28.0,MIL,NBA,SG,69.0,1575.0,11.3,0.578,0.703,0.103,4.4,17.3,11.1,6.3,1.5,1.3,7.5,11.6,1.8,1.7,3.5,0.108,-0.4,0.1,-0.4,0.6
2021-22,29.0,MIL,NBA,SG,12.0,351.0,13.5,0.597,0.72,0.056,3.5,14.2,8.8,9.1,1.4,0.8,9.1,14.6,0.6,0.3,0.8,0.116,0.6,-1.2,-0.6,0.1
Career,,,NBA,,364.0,6377.0,11.3,0.563,0.591,0.111,4.3,14.5,9.6,9.5,1.1,1.4,10.3,12.9,6.9,7.6,14.5,0.109,-0.7,0.3,-0.4,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIL,NBA,,209.0,4430.0,12.2,0.575,0.624,0.11,4.7,16.3,10.8,9.6,1.2,1.6,9.7,12.5,5.5,6.1,11.7,0.126,-0.3,0.6,0.3,2.6
3 seasons,,POR,NBA,,155.0,1947.0,9.4,0.536,0.517,0.114,3.2,10.5,6.9,9.4,0.8,1.0,11.5,13.7,1.4,1.5,2.8,0.07,-1.7,-0.4,-2.1,-0.1
