Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,22.0,NYK,NBA,C,72.0,1324.0,19.0,0.564,0.032,0.269,13.8,27.1,20.4,11.5,1.5,2.2,16.1,20.3,1.8,1.6,3.4,0.123,0.3,-0.5,-0.3,0.6
2017-18,23.0,TOT,NBA,C,48.0,495.0,21.2,0.604,0.073,0.549,13.3,27.2,20.2,10.5,1.8,2.7,14.7,21.0,1.1,0.7,1.8,0.174,0.9,0.5,1.4,0.4
2017-18,23.0,NYK,NBA,C,26.0,233.0,16.9,0.595,0.062,0.346,10.5,21.3,15.9,14.3,1.7,2.6,21.8,22.4,0.1,0.3,0.3,0.069,-1.1,0.8,-0.3,0.1
2017-18,23.0,CHO,NBA,C,22.0,262.0,25.0,0.612,0.084,0.747,15.8,32.4,24.0,7.1,1.9,2.9,7.5,19.7,1.0,0.4,1.5,0.266,2.7,0.1,2.8,0.3
2018-19,24.0,CHO,NBA,C,58.0,812.0,20.4,0.587,0.132,0.488,15.3,26.3,20.7,11.5,1.0,2.1,13.9,22.1,1.8,0.8,2.6,0.153,1.1,-1.1,-0.1,0.4
2019-20,25.0,CHO,NBA,C,31.0,375.0,19.2,0.576,0.158,0.424,12.1,27.5,19.5,13.5,1.3,1.7,15.4,22.9,0.4,0.4,0.8,0.107,0.6,-0.5,0.1,0.2
2020-21,26.0,NOP,NBA,C,47.0,846.0,19.6,0.591,0.037,0.347,15.0,27.8,21.4,8.5,1.2,2.6,9.9,17.0,1.9,1.0,2.9,0.163,1.1,-1.1,-0.1,0.4
2021-22,27.0,NOP,NBA,C,11.0,152.0,28.2,0.679,0.033,0.35,15.1,33.7,24.1,24.3,1.3,1.8,14.8,22.8,0.6,0.2,0.8,0.248,4.9,0.8,5.7,0.3
Career,,,NBA,,267.0,4004.0,20.0,0.586,0.072,0.382,14.2,27.4,20.7,11.4,1.4,2.3,14.2,20.4,7.7,4.6,12.3,0.147,0.9,-0.6,0.3,2.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CHO,NBA,,111.0,1449.0,20.9,0.589,0.132,0.513,14.5,27.7,21.0,11.2,1.2,2.2,13.3,21.9,3.2,1.6,4.9,0.162,1.2,-0.8,0.5,0.9
2 seasons,,NYK,NBA,,98.0,1557.0,18.6,0.569,0.037,0.28,13.3,26.2,19.7,11.9,1.6,2.3,17.0,20.6,1.9,1.8,3.7,0.115,0.1,-0.3,-0.3,0.7
2 seasons,,NOP,NBA,,58.0,998.0,20.9,0.607,0.037,0.348,15.0,28.7,21.8,10.9,1.3,2.5,10.8,17.9,2.5,1.1,3.7,0.176,1.6,-0.9,0.8,0.7
