,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2016-17,20.0,DEN,NBA,SG,22.0,165.0,13.7,0.536,0.384,0.137,3.4,8.0,5.7,10.2,2.1,0.0,9.4,22.0,0.1,0.1,0.2,0.057,-0.4,-0.2,-0.6,0.1
1,2017-18,21.0,DEN,NBA,SG,62.0,583.0,9.0,0.509,0.461,0.185,2.7,11.0,6.9,7.4,1.3,1.0,11.1,16.2,0.1,0.3,0.3,0.028,-2.4,-1.4,-3.8,-0.3
2,2018-19,22.0,DEN,NBA,SG,81.0,1879.0,14.2,0.599,0.55,0.09,2.0,9.5,5.8,7.5,1.4,0.5,6.7,18.7,2.9,1.6,4.5,0.115,0.8,-0.7,0.1,1.0
3,2019-20,23.0,TOT,NBA,SG,55.0,1209.0,12.7,0.546,0.517,0.124,1.6,11.9,6.7,9.4,1.6,0.6,9.2,21.8,0.4,0.8,1.2,0.049,-0.7,-1.4,-2.1,0.0
4,2019-20,23.0,DEN,NBA,SG,41.0,746.0,10.5,0.511,0.535,0.126,1.4,10.2,5.8,9.1,2.1,0.7,10.2,20.6,-0.2,0.6,0.5,0.03,-2.2,-0.7,-2.9,-0.2
5,2019-20,23.0,MIN,NBA,SG,14.0,463.0,16.2,0.591,0.494,0.12,2.0,14.7,8.1,9.8,0.9,0.4,7.9,23.7,0.5,0.2,0.8,0.079,1.7,-2.4,-0.7,0.2
6,2020-21,24.0,MIN,NBA,SG,37.0,1214.0,14.6,0.57,0.535,0.133,2.4,12.4,7.2,11.6,1.2,0.5,8.6,24.0,0.9,0.4,1.3,0.053,1.7,-2.3,-0.6,0.4
7,2021-22,25.0,MIN,NBA,SG,4.0,85.0,11.0,0.452,0.667,0.148,1.2,8.0,4.7,15.4,2.2,2.2,3.4,14.4,0.0,0.1,0.2,0.097,-2.6,-0.8,-3.4,0.0
8,Career,,,NBA,,261.0,5135.0,13.3,0.566,0.526,0.121,2.1,10.9,6.4,9.1,1.4,0.6,8.3,20.4,4.4,3.4,7.8,0.073,0.2,-1.3,-1.1,1.2
9,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4 seasons,,DEN,NBA,,206.0,3373.0,12.4,0.562,0.524,0.114,2.1,9.9,6.0,8.0,1.6,0.6,8.3,18.8,2.9,2.6,5.5,0.078,-0.5,-0.8,-1.3,0.6
11,3 seasons,,MIN,NBA,,55.0,1762.0,14.9,0.572,0.528,0.13,2.2,12.8,7.3,11.3,1.1,0.5,8.3,23.5,1.5,0.8,2.3,0.062,1.5,-2.3,-0.7,0.6
