Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,20.0,DEN,NBA,SG,22.0,165.0,13.7,0.536,0.384,0.137,3.4,8.0,5.7,10.2,2.1,0.0,9.4,22.0,0.1,0.1,0.2,0.057,-0.4,-0.2,-0.6,0.1
2017-18,21.0,DEN,NBA,SG,62.0,583.0,9.0,0.509,0.461,0.185,2.7,11.0,6.9,7.4,1.3,1.0,11.1,16.2,0.1,0.3,0.3,0.028,-2.4,-1.4,-3.8,-0.3
2018-19,22.0,DEN,NBA,SG,81.0,1879.0,14.2,0.599,0.55,0.09,2.0,9.5,5.8,7.5,1.4,0.5,6.7,18.7,2.9,1.6,4.5,0.115,0.8,-0.7,0.1,1.0
2019-20,23.0,TOT,NBA,SG,55.0,1209.0,12.7,0.546,0.517,0.124,1.6,11.9,6.7,9.4,1.6,0.6,9.2,21.8,0.4,0.8,1.2,0.049,-0.7,-1.4,-2.1,0.0
2019-20,23.0,DEN,NBA,SG,41.0,746.0,10.5,0.511,0.535,0.126,1.4,10.2,5.8,9.1,2.1,0.7,10.2,20.6,-0.2,0.6,0.5,0.03,-2.2,-0.7,-2.9,-0.2
2019-20,23.0,MIN,NBA,SG,14.0,463.0,16.2,0.591,0.494,0.12,2.0,14.7,8.1,9.8,0.9,0.4,7.9,23.7,0.5,0.2,0.8,0.079,1.7,-2.4,-0.7,0.2
2020-21,24.0,MIN,NBA,SG,37.0,1214.0,14.6,0.57,0.535,0.133,2.4,12.4,7.2,11.6,1.2,0.5,8.6,24.0,0.9,0.4,1.3,0.053,1.7,-2.3,-0.6,0.4
2021-22,25.0,MIN,NBA,SG,8.0,207.0,11.6,0.49,0.736,0.046,2.3,7.2,4.6,11.5,1.8,0.9,5.3,18.7,0.1,0.1,0.3,0.064,0.5,-1.3,-0.8,0.1
Career,,,NBA,,265.0,5257.0,13.2,0.564,0.532,0.117,2.1,10.8,6.4,9.1,1.4,0.6,8.3,20.4,4.5,3.4,7.9,0.072,0.3,-1.3,-1.0,1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DEN,NBA,,206.0,3373.0,12.4,0.562,0.524,0.114,2.1,9.9,6.0,8.0,1.6,0.6,8.3,18.8,2.9,2.6,5.5,0.078,-0.5,-0.8,-1.3,0.6
3 seasons,,MIN,NBA,,59.0,1884.0,14.7,0.568,0.543,0.122,2.3,12.4,7.2,11.2,1.2,0.5,8.1,23.3,1.6,0.8,2.4,0.061,1.6,-2.2,-0.6,0.7
